HDname,HIPname,RAval,DECval
HD 99945,HIP 56253,172.9605463,81.12725731
HD 98673,HIP 55485,170.4553719,57.07485711
HD 9826,HIP 7513,24.19934233,41.40545675
HD 9672,HIP 7345,23.65741183,-15.67636053
HD 95698,HIP 53963,165.6018895,-26.83150589
HD 95418,HIP 53910,165.4603189,56.38242608
HD 95086,HIP 53524,164.2625875,-68.66734825
HD 94131,HIP 52947,162.4249863,-71.65415753
HD 92945,HIP 52462,160.8677995,-29.06428736
HD 92536,HIP 52160,159.8451375,-64.11178811
HD 90905,HIP 51386,157.4259544,1.491121083
HD 90839,HIP 51459,157.6565836,55.98053678
HD 89452,,154.8690954,6.582974444
HD 8907,HIP 6878,22.14316638,42.26769017
HD 88955,HIP 50191,153.6839822,-42.12194258
HD 88463,HIP 49911,152.8520883,-34.79109811
HD 87696,HIP 49593,151.8573457,35.24469347
HD 8686,HIP 6679,21.41943383,2.972054444
HD 85672,HIP 48541,148.4964563,27.69545714
HD 85301,HIP 48423,148.0698704,49.19079094
HD 84870,HIP 48164,147.261856,34.08539511
HD 83033,HIP 46679,142.7494883,-74.15324247
HD 82943,HIP 47007,143.7114023,-12.12954814
HD 81809,HIP 46404,141.9449164,-6.0711895
HD 80950,HIP 45585,139.3648718,-74.73459069
HD 79108,HIP 45167,138.0536695,3.866975444
HD 77056,,134.8260729,-24.72886694
HD 76932,HIP 44075,134.6830546,-16.13272603
HD 76582,HIP 44001,134.3966669,15.58128181
HD 76543,HIP 43970,134.3122928,15.32276422
HD 76151,HIP 43726,133.5747835,-5.434460639
HD 7570,HIP 5862,18.79633958,-45.53166539
HD 75616,HIP 43625,133.2753975,52.39022944
HD 74873,HIP 43121,131.7334112,12.10995058
HD 74389,HIP 42994,131.4455014,48.87876408
HD 73350,HIP 42333,129.4595583,-6.806884583
HD 72905,HIP 42438,129.7987683,65.02090742
HD 72687,HIP 41967,128.3140804,-29.95658914
HD 72659,HIP 42030,128.5132929,-1.568216139
HD 71988,HIP 41765,127.7519545,18.96838569
HD 71722,HIP 41373,126.6050231,-52.80749822
HD 71243,HIP 40702,124.6314716,-76.91972122
HD 71155,HIP 41307,126.4151334,-3.906421611
HD 7112,HIP 5462,17.48585633,-64.35921281
HD 71043,HIP 41081,125.7298243,-52.12372972
HD 70313,HIP 41152,125.9520947,53.2197115
HD 6798,HIP 5626,18.0700775,79.67396264
HD 66552,HIP 39535,121.188762,18.84202019
HD 61005,HIP 36948,113.947758,-32.20390086
HD 60737,HIP 37170,114.5685011,47.74867289
HD 59659,HIP 36312,112.12525,-49.14969319
HD 59507,HIP 36624,112.9818122,38.89606578
HD 57969,HIP 35567,110.0956398,-56.29464811
HD 57703,HIP 35803,110.7691928,18.27340847
HD 5578,HIP 4448,14.231138,-51.87551881
HD 54341,HIP 34276,106.5872204,-43.61074919
HD 5388,HIP 4311,13.79954183,-47.40596544
HD 53143,HIP 33690,104.9985644,-61.33618183
HD 52265,HIP 33719,105.0751503,-5.367162222
HD 51797,,104.0981079,-46.78197028
HD 5133,HIP 4148,13.25472883,-30.35691747
HD 51296,HIP 33477,104.3885956,19.72891394
